".Autauga County, Alabama","60,342",594.455,9.914,604.369
".Baldwin County, Alabama","253,507",1589.884,437.388,2027.272
".Barbour County, Alabama","24,585",885.008,19.507,904.515
".Bibb County, Alabama","21,868",622.47,3.696,626.166
".Blount County, Alabama","59,816",644.891,5.738,650.629
".Bullock County, Alabama","9,897",622.815,2.328,625.143
".Butler County, Alabama","18,382",776.839,1.043,777.882
".Calhoun County, Alabama","116,429",605.893,6.381,612.274
".Chambers County, Alabama","34,079",596.554,6.559,603.113
".Cherokee County, Alabama","25,666",553.522,46.455,599.977
".Chilton County, Alabama","46,431",692.838,7.949,700.787
".Choctaw County, Alabama","12,252",913.479,7.38,920.859
".Clarke County, Alabama","22,337",1238.42,14.154,1252.574
".Clay County, Alabama","14,111",603.962,2.039,606.001
".Cleburne County, Alabama","15,639",560.107,0.907,561.014
".Coffee County, Alabama","55,643",678.986,1.509,680.495
".Colbert County, Alabama","58,361",592.953,30.565,623.518
".Conecuh County, Alabama","11,174",850.279,2.481,852.76
".Coosa County, Alabama","10,268",650.909,15.441,666.35
".Covington County, Alabama","37,952",1030.571,13.203,1043.774
".Crenshaw County, Alabama","13,101",608.865,2.081,610.946
".Cullman County, Alabama","92,016",734.747,20.274,755.021
".Dale County, Alabama","49,871",561.113,1.564,562.677
".Dallas County, Alabama","36,165",978.738,15.106,993.844
".DeKalb County, Alabama","72,569",777.077,1.586,778.663
".Elmore County, Alabama","90,441",618.52,38.521,657.041
".Escambia County, Alabama","36,558",945.408,7.732,953.14
".Etowah County, Alabama","103,241",535.144,13.484,548.628
".Fayette County, Alabama","15,967",627.684,1.672,629.356
".Franklin County, Alabama","31,802",633.959,12.564,646.523
".Geneva County, Alabama","26,988",574.485,4.466,578.951
".Greene County, Alabama","7,341",647.023,12.902,659.925
".Hale County, Alabama","14,888",643.991,12.51,656.501
".Henry County, Alabama","17,899",561.892,6.417,568.309
".Houston County, Alabama","108,462",579.826,1.852,581.678
".Jackson County, Alabama","53,467",1078.014,48.778,1126.792
".Jefferson County, Alabama","662,895",1111.556,12.593,1124.149
".Lamar County, Alabama","13,661",604.846,0.618,605.464
".Lauderdale County, Alabama","96,814",668.018,51.582,719.6
".Lawrence County, Alabama","33,502",690.685,26.518,717.203
".Lee County, Alabama","183,215",607.556,8.294,615.85
".Limestone County, Alabama","114,654",563.399,43.789,607.188
".Lowndes County, Alabama","9,717",716.085,8.985,725.07
".Macon County, Alabama","18,370",608.665,4.543,613.208
".Madison County, Alabama","412,600",801.612,11.103,812.715
".Marengo County, Alabama","18,684",976.898,5.773,982.671
".Marion County, Alabama","29,244",742.342,1.229,743.571
".Marshall County, Alabama","100,756",565.854,57.327,623.181
".Mobile County, Alabama","411,640",1229.38,414.672,1644.052
".Monroe County, Alabama","19,229",1025.669,8.73,1034.399
".Montgomery County, Alabama","224,980",785.354,14.558,799.912
".Morgan County, Alabama","125,133",579.674,19.375,599.049
".Perry County, Alabama","7,738",719.67,4.209,723.879
".Pickens County, Alabama","18,688",881.408,8.734,890.142
".Pike County, Alabama","33,137",672.067,0.903,672.97
".Randolph County, Alabama","22,786",580.55,3.584,584.134
".Russell County, Alabama","58,744",641.182,6.009,647.191
".St. Clair County, Alabama","95,552",631.61,21.749,653.359
".Shelby County, Alabama","233,000",785.454,24.035,809.489
".Sumter County, Alabama","11,727",903.826,9.512,913.338
".Talladega County, Alabama","81,132",736.818,23.503,760.321
".Tallapoosa County, Alabama","40,677",716.531,49.723,766.254
".Tuscaloosa County, Alabama","237,373",1320.857,30.379,1351.236
".Walker County, Alabama","64,728",791.031,14.162,805.193
".Washington County, Alabama","15,022",1080.255,8.311,1088.566
".Wilcox County, Alabama","9,944",887.858,19.534,907.392
".Winston County, Alabama","23,611",612.999,18.869,631.868
".Aleutians East Borough, Alaska","3,461",6986.254,8029.931,15016.185
".Aleutians West Census Area, Alaska","5,160",4393.051,9723.432,14116.483
".Anchorage Municipality, Alaska","286,075",1707.069,237.44,1944.509
".Bethel Census Area, Alaska","18,224",40660.586,4895.023,45555.609
".Bristol Bay Borough, Alaska",844,481.382,367.797,849.179
".Chugach Census Area, Alaska","6,769",9575.39,5612.501,15187.891
".Copper River Census Area, Alaska","2,674",24646.759,470.639,25117.398
".Denali Borough, Alaska","1,584",12641.049,25.524,12666.573
".Dillingham Census Area, Alaska","4,607",18335.796,2292.253,20628.049
".Fairbanks North Star Borough, Alaska","94,840",7334.824,100.119,7434.943
".Haines Borough, Alaska","2,070",2334.932,396.996,2731.928
".Hoonah-Angoon Census Area, Alaska","2,262",6560.319,3010.201,9570.52
".Juneau City and Borough, Alaska","31,555",2702.924,555.066,3257.99
".Kenai Peninsula Borough, Alaska","61,223",16017.581,8703.582,24721.163
".Ketchikan Gateway Borough, Alaska","13,738",4857.091,1820.468,6677.559
".Kodiak Island Borough, Alaska","12,565",6689.486,5462.558,12152.044
".Kusilvak Census Area, Alaska","8,001",17077.965,2580.65,19658.615
".Lake and Peninsula Borough, Alaska","1,331",23831.019,9979.253,33810.272
".Matanuska-Susitna Borough, Alaska","115,239",24707.334,560.325,25267.659
".Nome Census Area, Alaska","9,763",22969.694,5320.55,28290.244
".North Slope Borough, Alaska","10,603",88792.798,6035.125,94827.923
".Northwest Arctic Borough, Alaska","7,361",35671.697,4948.083,40619.78
".Petersburg Borough, Alaska","3,427",2900.889,926.572,3827.461
".Prince of Wales-Hyder Census Area, Alaska","5,696",5267.636,5623.025,10890.661
".Sitka City and Borough, Alaska","8,282",2870.101,1945.043,4815.144
".Skagway Municipality, Alaska","1,095",442.928,10.726,453.654
".Southeast Fairbanks Census Area, Alaska","7,077",24832.27,289.304,25121.574
".Wrangell City and Borough, Alaska","2,064",2556.097,915.037,3471.134
".Yakutat City and Borough, Alaska",687,7627.587,1537.02,9164.607
